date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:13	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:15%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10362	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10362	(from https://doj.gov.in/judgment-search-portal/)
15:06:14	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:15%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fjudgment-search-portal%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed9ed8	(from https://doj.gov.in/judgment-search-portal/)
15:06:14	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:16%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fjudgment-search-portal%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed43b9	(from https://doj.gov.in/judgment-search-portal/)
15:06:14	63899/63899	---M--	200	added ('OK')	image/jpeg	etag:%22786970b56bf92adf804737b8b6acdd01%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030294.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030294.jpg	(from https://doj.gov.in/judgment-search-portal/)
15:06:15	89936/89936	---M--	200	added ('OK')	image/jpeg	etag:%2245414693eedd90c08e3512b01e3b4076%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030220.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030220.jpg	(from https://doj.gov.in/judgment-search-portal/)
15:06:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:16%20GMT	https://doj.gov.in/?p=10362	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/index89b0.html	(from https://doj.gov.in/judgment-search-portal/)
15:06:15	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:16%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10370	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10370	(from https://doj.gov.in/national-service-and-tracking-of-electronic-processes-nstep/)
15:06:15	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:17%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fnational-service-and-tracking-of-electronic-processes-nstep%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embedfbaf	(from https://doj.gov.in/national-service-and-tracking-of-electronic-processes-nstep/)
15:06:15	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:17%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fnational-service-and-tracking-of-electronic-processes-nstep%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embedd47b	(from https://doj.gov.in/national-service-and-tracking-of-electronic-processes-nstep/)
15:06:16	104156/104156	---M--	200	added ('OK')	image/png	etag:%22603d1a69f44c9f6221a763cf8c197d39%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2023/05/2023053133.png	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2023/05/2023053133.png	(from https://doj.gov.in/national-service-and-tracking-of-electronic-processes-nstep/)
